date,version,count
2026-07-27,AS21,0
2026-07-27,BLIVRE,0
2026-07-27,JFAA,0
2026-07-27,KJA,0
2026-07-27,KJF,0
2026-07-27,MENS,0
2026-07-27,NAA,0
2026-07-27,NBV,0
2026-07-27,NTLH,0
2026-07-27,NVI,0
2026-07-27,NVT,0
2026-07-27,OL,0
2026-07-27,TB,0
2026-07-27,VFL,0
2026-07-28,ACF,0
2026-07-28,ALM1911,0
2026-07-28,ARA,0
2026-07-28,ARC,0
2026-07-28,AS21,0
2026-07-28,BLIVRE,0
2026-07-28,JFAA,0
2026-07-28,KJA,0
2026-07-28,KJF,0
2026-07-28,MENS,0
2026-07-28,NAA,0
2026-07-28,NBV,0
2026-07-28,NTLH,0
2026-07-28,NVI,0
2026-07-28,NVT,0
2026-07-28,OL,0
2026-07-28,TB,0
2026-07-28,VFL,0
2026-07-29,ACF,0
2026-07-29,ALM1911,0
2026-07-29,ARA,0
2026-07-29,ARC,0
2026-07-29,AS21,0
2026-07-29,BLIVRE,0
2026-07-29,JFAA,0
2026-07-29,KJA,0
2026-07-29,KJF,0
2026-07-29,MENS,0
2026-07-29,NAA,0
2026-07-29,NBV,0
2026-07-29,NTLH,0
2026-07-29,NVI,0
2026-07-29,NVT,0
2026-07-29,OL,0
2026-07-29,TB,0
2026-07-29,VFL,0
2026-07-30,ACF,0
2026-07-30,ALM1911,0
2026-07-30,ARA,0
2026-07-30,ARC,0
2026-07-30,AS21,0
2026-07-30,BLIVRE,0
2026-07-30,JFAA,0
2026-07-30,KJA,0
2026-07-30,KJF,0
2026-07-30,MENS,0
2026-07-30,NAA,0
2026-07-30,NBV,0
2026-07-30,NTLH,0
2026-07-30,NVI,0
2026-07-30,NVT,0
2026-07-30,OL,0
2026-07-30,TB,0
2026-07-30,VFL,0
2026-07-31,ACF,0
2026-07-31,ALM1911,0
2026-07-31,ARA,0
2026-07-31,ARC,0
2026-07-31,AS21,0
2026-07-31,BLIVRE,0
2026-07-31,JFAA,0
2026-07-31,KJA,0
2026-07-31,KJF,0
2026-07-31,MENS,0
2026-07-31,NAA,0
2026-07-31,NBV,0
2026-07-31,NTLH,0
2026-07-31,NVI,0
2026-07-31,NVT,0
2026-07-31,OL,0
2026-07-31,TB,0
2026-07-31,VFL,0
2026-08-01,ACF,0
2026-08-01,ALM1911,0
2026-08-01,ARA,0
2026-08-01,ARC,0
2026-08-01,AS21,0
2026-08-01,BLIVRE,0
2026-08-01,JFAA,0
2026-08-01,KJA,0
2026-08-01,KJF,0
2026-08-01,MENS,0
2026-08-01,NAA,0
2026-08-01,NBV,0
2026-08-01,NTLH,0
2026-08-01,NVI,0
2026-08-01,NVT,0
2026-08-01,OL,0
2026-08-01,TB,0
2026-08-01,VFL,0
2026-08-02,ACF,0
2026-08-02,ALM1911,0
2026-08-02,ARA,0
2026-08-02,ARC,0
2026-08-02,AS21,0
2026-08-02,BLIVRE,0
2026-08-02,JFAA,0
2026-08-02,KJA,0
2026-08-02,KJF,0
2026-08-02,MENS,0
2026-08-02,NAA,0
2026-08-02,NBV,0
2026-08-02,NTLH,0
2026-08-02,NVI,0
2026-08-02,NVT,0
2026-08-02,OL,0
2026-08-02,TB,0
2026-08-02,VFL,0
2026-08-03,ACF,0
2026-08-03,ALM1911,0
2026-08-03,ARA,0
2026-08-03,ARC,0
2026-08-03,AS21,0
2026-08-03,BLIVRE,0
2026-08-03,JFAA,0
2026-08-03,KJA,0
2026-08-03,KJF,0
2026-08-03,MENS,0
2026-08-03,NAA,0
2026-08-03,NBV,0
2026-08-03,NTLH,0
2026-08-03,NVI,0
2026-08-03,NVT,0
2026-08-03,OL,0
2026-08-03,TB,0
2026-08-03,VFL,0
2026-08-04,ACF,0
2026-08-04,ALM1911,0
2026-08-04,ARA,0
2026-08-04,ARC,0
2026-08-04,AS21,0
2026-08-04,BLIVRE,0
